index,label
0,no
1,no
2,no
3,no
4,no
5,yes
6,yes
7,no
8,no
9,no
10,no
11,no
12,yes
13,no
14,yes
15,no
16,yes
17,no
18,yes
19,no
20,no
21,no
22,no
23,no
24,no
25,no
26,yes
27,no
28,yes
29,no
30,yes
31,no
32,no
33,no
34,no
35,no
36,no
37,no
38,yes
39,no
40,no
41,no
42,no
43,no
44,yes
45,no
46,no
47,no
48,no
49,no
50,no
51,no
52,no
53,yes
54,no
55,no
56,no
57,no
58,yes
59,no
60,no
61,no
62,no
63,no
64,no
65,no
66,no
67,no
68,yes
69,no
70,no
71,no
72,no
73,no
74,no
75,no
76,no
77,yes
78,no
79,yes
80,no
81,no
82,no
83,no
84,no
85,no
86,no
87,yes
88,no
89,no
90,no
91,no
92,no
93,no
94,no
95,no
96,no
97,no
98,no
99,no
100,no
101,yes
102,no
103,yes
104,no
105,yes
106,no
107,no
108,no
109,no
110,yes
111,no
112,yes
113,yes
114,no
115,no
116,no
117,yes
118,yes
119,no
120,no
121,no
122,no
123,yes
124,no
125,no
126,no
127,no
128,no
129,no
130,no
131,no
132,no
133,yes
134,yes
135,no
136,no
137,no
138,no
139,no
140,yes
141,yes
142,no
143,no
144,no
145,no
146,no
147,no
148,no
149,no
150,no
151,yes
152,no
153,no
154,yes
155,no
156,no
157,no
158,no
159,no
160,no
161,no
162,no
163,no
164,yes
165,no
166,yes
167,no
168,no
169,no
170,yes
171,no
172,no
173,no
174,no
175,no
176,yes
177,yes
178,no
179,no
180,no
181,no
182,no
183,no
184,no
185,no
186,no
187,no
188,no
189,no
190,no
191,no
192,no
193,no
194,no
195,no
196,no
197,no
198,no
199,yes
200,no
201,no
202,yes
203,no
204,no
205,no
206,yes
207,no
208,yes
209,no
210,no
211,no
212,no
213,yes
214,yes
215,no
216,no
217,no
218,no
219,no
220,yes
221,no
222,no
223,no
224,no
225,no
226,no
227,yes
228,yes
229,no
230,no
231,no
232,no
233,no
234,no
235,yes
236,no
237,no
238,no
239,no
240,no
241,no
242,no
243,no
244,no
245,no
246,no
247,no
248,no
249,no
250,no
251,yes
252,yes
253,yes
254,no
255,yes
256,no
257,no
258,no
259,no
260,no
261,no
262,no
263,no
264,yes
265,yes
266,no
267,no
268,no
269,no
270,no
271,no
272,no
273,no
274,yes
275,no
276,no
277,no
278,no
279,no
280,no
281,no
282,no
283,no
284,no
285,no
286,no
287,yes
288,no
289,yes
290,no
291,no
292,no
293,no
294,no
295,yes
296,no
297,no
298,no
299,no
300,no
301,no
302,no
303,no
304,no
305,yes
306,no
307,no
308,no
309,no
310,no
311,no
312,no
313,no
314,no
315,no
316,no
317,no
318,yes
319,yes
320,no
321,no
322,no
323,no
324,no
325,yes
326,no
327,no
328,no
329,yes
330,no
331,yes
332,no
333,no
334,no
335,no
336,no
337,yes
338,no
339,no
340,no
341,no
342,no
343,no
344,no
345,no
346,no
347,no
348,yes
349,no
350,no
351,no
352,no
353,yes
354,no
355,no
356,no
357,yes
358,no
359,no
360,no
361,yes
362,no
363,no
364,yes
365,no
366,no
367,no
368,no
369,no
370,no
371,yes
372,no
373,no
374,no
375,no
376,no
377,no
378,no
379,no
380,no
381,no
382,no
383,no
384,no
385,no
386,no
387,no
388,no
389,no
390,no
391,no
392,no
393,no
394,no
395,no
396,yes
397,no
398,no
399,no
400,no
401,no
402,no
403,yes
404,no
405,no
406,yes
407,no
408,yes
409,no
410,yes
411,no
412,yes
413,yes
414,yes
415,no
416,no
417,no
418,no
419,yes
420,no
421,no
422,yes
423,no
424,no
425,no
426,no
427,no
428,no
429,no
430,no
431,no
432,no
433,no
434,no
435,no
436,yes
437,no
438,no
439,no
440,no
441,yes
442,no
443,no
444,no
445,no
446,yes
447,no
448,no
449,no
450,no
451,no
452,no
453,no
454,no
455,yes
456,no
457,no
458,no
459,no
460,no
461,no
462,no
463,no
464,no
465,no
466,yes
467,no
468,no
469,no
470,no
471,no
472,no
473,no
474,no
475,no
476,no
477,no
478,no
479,no
480,no
481,no
482,no
483,yes
484,no
485,yes
486,no
487,no
488,yes
489,yes
490,yes
491,yes
492,yes
493,no
494,yes
495,yes
496,yes
497,no
498,yes
499,yes
500,yes
501,yes
502,no
503,yes
504,no
505,yes
506,yes
507,yes
508,no
509,yes
510,yes
511,yes
512,yes
513,no
514,yes
515,yes
516,yes
517,no
518,no
519,no
520,yes
521,yes
522,no
523,yes
524,yes
525,yes
526,yes
527,yes
528,yes
529,yes
530,yes
531,yes
532,yes
533,yes
534,no
535,yes
536,no
537,yes
538,yes
539,yes
540,no
541,no
542,yes
543,yes
544,yes
545,yes
546,yes
547,yes
548,yes
549,yes
550,no
551,yes
552,yes
553,yes
554,yes
555,yes
556,yes
557,yes
558,no
559,yes
560,yes
561,yes
562,yes
563,yes
564,yes
565,yes
566,no
567,yes
568,yes
569,yes
570,yes
571,yes
572,yes
573,yes
574,yes
575,yes
576,yes
577,yes
578,yes
579,yes
580,yes
581,yes
582,no
583,yes
584,yes
585,yes
586,yes
587,yes
588,yes
589,yes
590,no
591,no
592,yes
593,yes
594,yes
595,yes
596,yes
597,yes
598,yes
599,yes
600,yes
601,yes
602,yes
603,yes
604,no
605,no
606,yes
607,yes
608,no
609,yes
610,yes
611,no
612,yes
613,no
614,no
615,no
616,no
617,no
618,no
619,no
620,no
621,yes
622,yes
623,no
624,no
625,no
626,yes
627,yes
628,no
629,yes
630,no
631,no
632,no
633,no
634,no
635,yes
636,no
637,yes
638,no
639,no
640,no
641,no
642,no
643,no
644,yes
645,no
646,no
647,no
648,no
649,no
650,yes
651,yes
652,yes
653,yes
654,no
655,yes
656,no
657,no
658,no
659,yes
660,yes
661,no
662,no
663,no
664,no
665,no
666,no
667,no
668,no
669,yes
670,no
671,no
672,no
673,no
674,no
675,yes
676,no
677,no
678,yes
679,no
680,no
681,yes
682,yes
683,no
684,no
685,no
686,no
687,no
688,no
689,no
690,no
691,yes
692,yes
693,no
694,no
695,no
696,no
697,no
698,no
699,no
700,no
701,no
702,no
703,yes
704,no
705,no
706,no
707,no
708,yes
709,no
710,no
711,no
712,yes
713,no
714,no
715,no
716,no
717,no
718,no
719,no
720,no
721,no
722,no
723,no
724,no
725,no
726,no
727,no
728,yes
729,no
730,no
731,no
732,no
733,no
734,no
735,no
736,yes
737,yes
738,no
739,no
740,no
741,no
742,no
743,no
744,no
745,no
746,no
747,yes
748,yes
749,no
750,no
751,no
752,no
753,no
754,no
755,yes
756,no
757,no
758,no
759,yes
760,no
761,no
762,no
763,yes
764,no
765,no
766,yes
767,no
768,no
769,no
770,yes
771,yes
772,yes
773,no
774,yes
775,no
776,no
777,no
778,yes
779,no
780,yes
781,no
782,yes
783,yes
784,no
785,yes
786,no
787,no
788,no
789,no
790,yes
791,no
792,no
793,no
794,no
795,no
796,no
797,yes
798,no
799,no
800,no
801,yes
802,yes
803,yes
804,yes
805,yes
806,yes
807,no
808,no
809,no
810,yes
811,yes
812,yes
813,yes
814,yes
815,no
816,no
817,no
818,no
819,yes
820,no
821,no
822,yes
823,yes
824,yes
825,yes
826,yes
827,yes
828,yes
829,yes
830,yes
831,yes
832,no
833,no
834,yes
835,yes
836,yes
837,yes
838,yes
839,yes
840,yes
841,yes
842,no
843,yes
844,yes
845,yes
846,yes
847,yes
848,yes
849,yes
850,yes
851,yes
852,yes
853,yes
854,yes
855,yes
856,no
857,yes
858,yes
859,yes
860,yes
861,yes
862,no
863,yes
864,no
865,no
866,yes
867,yes
868,yes
869,yes
870,yes
871,yes
872,yes
873,no
874,yes
875,yes
876,yes
877,yes
878,yes
879,yes
880,no
881,no
882,yes
883,yes
884,yes
885,yes
886,no
887,no
888,no
889,no
890,yes
891,yes
892,no
893,no
894,yes
895,no
896,yes
897,no
898,yes
899,yes
900,no
901,yes
902,no
903,no
904,no
905,yes
906,no
907,no
908,no
909,no
910,no
911,no
912,no
913,no
914,no
915,no
916,no
917,no
918,no
919,no
920,no
921,no
922,no
923,no
924,yes
925,no
926,no
927,no
928,no
929,no
930,yes
931,yes
932,yes
933,no
934,no
935,yes
936,no
937,no
938,no
939,no
940,no
941,yes
942,no
943,yes
944,yes
945,no
946,yes
947,no
948,no
949,no
950,no
951,yes
952,no
953,no
954,no
955,yes
956,no
957,yes
958,no
959,yes
960,no
961,no
962,no
963,yes
964,no
965,no
966,yes
967,no
968,no
969,no
970,no
971,no
972,no
973,no
974,no
975,yes
976,no
977,no
978,yes
979,yes
980,yes
981,yes
982,no
983,no
984,no
985,no
986,no
987,yes
988,no
989,no
990,no
991,yes
992,yes
993,yes
994,no
995,no
996,no
997,no
998,no
999,no
